source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,partial
33,77000 × 1x1 × 100x100x100x100,77000,1,100,128,1024,0,77000,2290.0,2380.0,88.6,68.5,96256,63488,1,OK,false
34,77000 × 1x1 × 1000x1000x1000x1000,77000,1,1000,128,1024,0,77000,2330.0,2410.0,88.6,68.7,97280,65536,1,OK,false
35,77000 × 1x1 × 10000x10000x10000x10000,77000,1,10000,128,1024,0,12400,10470.0,20500.0,14.5,12.3,88064,64512,1,OK,false
36,77000 × 16x16 × 1x1x1x1,77000,16,1,128,1024,0,77000,1390.0,2050.0,108.8,115.3,99328,60416,1,OK,false
37,77000 × 16x16 × 10x10x10x10,77000,16,10,128,1024,0,77000,1350.0,1890.0,91.1,75.0,99328,67584,1,OK,false
38,77000 × 16x16 × 100x100x100x100,77000,16,100,128,1024,0,77000,1320.0,2210.0,87.7,72.2,101376,72704,1,OK,false
39,77000 × 16x16 × 1000x1000x1000x1000,77000,16,1000,128,1024,0,77000,1320.0,2340.0,87.6,72.2,104448,71680,1,OK,false
40,77000 × 16x16 × 10000x10000x10000x10000,77000,16,10000,128,1024,0,12500,10480.0,20300.0,15.0,12.6,91136,63488,1,OK,false
41,77000 × 256x256 × 1x1x1x1,77000,256,1,128,1024,0,77000,40.0,130.0,319.1,293.8,101376,63488,1,OK,false
42,77000 × 256x256 × 10x10x10x10,77000,256,10,128,1024,0,77000,40.0,1270.0,293.0,278.8,102400,67584,1,OK,false
43,77000 × 256x256 × 100x100x100x100,77000,256,100,128,1024,0,77000,110.0,260.0,282.9,269.0,92160,70656,1,OK,false
44,77000 × 256x256 × 1000x1000x1000x1000,77000,256,1000,128,1024,0,76900,2130.0,2470.0,206.7,184.6,96256,70656,1,OK,false
45,77000 × 256x256 × 10000x10000x10000x10000,77000,256,10000,128,1024,0,13500,11400.0,20670.0,33.0,32.7,90112,63488,1,OK,false
46,77000 × 1024x1024 × 1x1x1x1,77000,1024,1,128,1024,0,77000,30.0,90.0,390.6,366.9,100352,66560,1,OK,false
47,77000 × 1024x1024 × 10x10x10x10,77000,1024,10,128,1024,0,77000,30.0,90.0,450.3,430.6,98304,67584,1,OK,false
48,77000 × 1024x1024 × 100x100x100x100,77000,1024,100,128,1024,0,77000,30.0,170.0,411.5,396.4,100352,63488,1,OK,false
49,77000 × 1024x1024 × 1000x1000x1000x1000,77000,1024,1000,128,1024,0,77000,30.0,1780.0,351.3,341.8,98304,60416,1,OK,false
50,77000 × 1024x1024 × 10000x10000x10000x10000,77000,1024,10000,128,1024,0,53700,11290.0,12040.0,156.3,140.0,98304,68608,1,OK,false
51,192500 × 0x0 × 1x1x1x1,192500,0,1,128,1024,0,192500,60.0,440.0,443.6,387.1,111616,65536,1,OK,false
52,192500 × 0x0 × 10x10x10x10,192500,0,10,128,1024,0,192500,60.0,500.0,429.8,379.1,108544,67584,1,OK,false
53,192500 × 0x0 × 100x100x100x100,192500,0,100,128,1024,0,192400,120.0,690.0,425.0,378.9,110592,64512,1,OK,false
54,192500 × 0x0 × 1000x1000x1000x1000,192500,0,1000,128,1024,0,183700,1520.0,2240.0,310.2,269.3,109568,70656,1,OK,false
55,192500 × 0x0 × 10000x10000x10000x10000,192500,0,10000,128,1024,0,24600,11270.0,20410.0,45.6,41.4,91136,65536,1,OK,false
56,192500 × 1x1 × 1x1x1x1,192500,1,1,128,1024,0,171200,1420.0,1960.0,216.2,179.4,109568,73728,1,OK,false
57,192500 × 1x1 × 10x10x10x10,192500,1,10,128,1024,0,110300,1410.0,2110.0,122.5,98.7,99328,70656,1,OK,false
58,192500 × 1x1 × 100x100x100x100,192500,1,100,128,1024,0,102500,2290.0,2390.0,110.2,90.5,105472,66560,1,OK,false
59,192500 × 1x1 × 1000x1000x1000x1000,192500,1,1000,128,1024,0,101100,2330.0,2400.0,102.9,88.4,95232,67584,1,OK,false
60,192500 × 1x1 × 10000x10000x10000x10000,192500,1,10000,128,1024,0,12400,10470.0,20480.0,14.5,12.3,94208,64512,1,OK,false
61,192500 × 16x16 × 1x1x1x1,192500,16,1,128,1024,0,173900,1380.0,1950.0,217.2,198.0,111616,64512,1,OK,false
62,192500 × 16x16 × 10x10x10x10,192500,16,10,128,1024,0,109000,1370.0,2020.0,118.1,101.0,104448,69632,1,OK,false
63,192500 × 16x16 × 100x100x100x100,192500,16,100,128,1024,0,108300,1710.0,2220.0,115.0,98.0,95232,68608,1,OK,false
64,192500 × 16x16 × 1000x1000x1000x1000,192500,16,1000,128,1024,0,105500,1430.0,2350.0,110.7,94.7,98304,66560,1,OK,false
65,192500 × 16x16 × 10000x10000x10000x10000,192500,16,10000,128,1024,0,12400,10490.0,20510.0,14.9,12.9,88064,62464,1,OK,false
66,192500 × 256x256 × 1x1x1x1,192500,256,1,128,1024,0,192500,70.0,540.0,431.5,375.1,112640,74752,1,OK,false
67,192500 × 256x256 × 10x10x10x10,192500,256,10,128,1024,0,192500,70.0,580.0,423.3,373.2,110592,65536,1,OK,false
68,192500 × 256x256 × 100x100x100x100,192500,256,100,128,1024,0,192400,120.0,940.0,430.4,386.1,106496,62464,1,OK,false
69,192500 × 256x256 × 1000x1000x1000x1000,192500,256,1000,128,1024,0,180800,1550.0,2400.0,308.8,268.5,109568,74752,1,OK,false
70,192500 × 256x256 × 10000x10000x10000x10000,192500,256,10000,128,1024,0,28900,11310.0,20640.0,49.4,45.4,99328,66560,1,OK,false
71,192500 × 1024x1024 × 1x1x1x1,192500,1024,1,128,1024,0,192500,60.0,490.0,463.2,406.4,110592,71680,1,OK,false
72,192500 × 1024x1024 × 10x10x10x10,192500,1024,10,128,1024,0,192500,50.0,460.0,450.1,399.9,110592,66560,1,OK,false
73,192500 × 1024x1024 × 100x100x100x100,192500,1024,100,128,1024,0,192500,60.0,480.0,459.2,407.6,110592,74752,1,OK,false
74,192500 × 1024x1024 × 1000x1000x1000x1000,192500,1024,1000,128,1024,0,192500,80.0,1740.0,380.9,337.4,105472,71680,1,OK,false
75,192500 × 1024x1024 × 10000x10000x10000x10000,192500,1024,10000,128,1024,0,189800,10790.0,11430.0,284.9,236.0,106496,64512,1,OK,false
76,385000 × 0x0 × 1x1x1x1,385000,0,1,128,1024,0,384100,340.0,980.0,629.2,529.6,167936,72704,1,OK,false
77,385000 × 0x0 × 10x10x10x10,385000,0,10,128,1024,0,383800,340.0,1040.0,623.1,522.6,162816,64512,1,OK,false
78,385000 × 0x0 × 100x100x100x100,385000,0,100,128,1024,0,384000,350.0,1040.0,629.1,534.5,166912,66560,1,OK,false
79,385000 × 0x0 × 1000x1000x1000x1000,385000,0,1000,128,1024,0,378600,1330.0,1980.0,554.9,456.8,169984,72704,1,OK,false
80,385000 × 0x0 × 10000x10000x10000x10000,385000,0,10000,128,1024,0,236100,10630.0,11310.0,279.3,230.6,118784,68608,1,OK,false
81,385000 × 1x1 × 1x1x1x1,385000,1,1,128,1024,0,263700,1430.0,1970.0,318.3,258.7,119808,65536,1,OK,false
82,385000 × 1x1 × 10x10x10x10,385000,1,10,128,1024,0,117700,1570.0,1940.0,130.4,106.5,105472,60416,1,OK,false
83,385000 × 1x1 × 100x100x100x100,385000,1,100,128,1024,0,103000,2290.0,2380.0,104.8,91.0,96256,65536,1,OK,false
84,385000 × 1x1 × 1000x1000x1000x1000,385000,1,1000,128,1024,0,101400,2340.0,2400.0,103.5,89.8,97280,68608,1,OK,false
85,385000 × 1x1 × 10000x10000x10000x10000,385000,1,10000,128,1024,0,12300,10730.0,20490.0,14.5,12.1,93184,61440,1,OK,false
86,385000 × 16x16 × 1x1x1x1,385000,16,1,128,1024,0,327000,1320.0,1780.0,447.4,379.5,155648,72704,1,OK,false
87,385000 × 16x16 × 10x10x10x10,385000,16,10,128,1024,0,119100,1390.0,1920.0,129.2,111.2,104448,66560,1,OK,false
88,385000 × 16x16 × 100x100x100x100,385000,16,100,128,1024,0,112500,1710.0,2120.0,119.0,101.4,106496,64512,1,OK,false
89,385000 × 16x16 × 1000x1000x1000x1000,385000,16,1000,128,1024,0,106500,1660.0,2360.0,111.4,97.0,104448,68608,1,OK,false
90,385000 × 16x16 × 10000x10000x10000x10000,385000,16,10000,128,1024,0,12500,10460.0,11440.0,14.9,12.8,90112,66560,1,OK,false
91,385000 × 256x256 × 1x1x1x1,385000,256,1,128,1024,0,384300,340.0,960.0,628.8,526.9,166912,70656,1,OK,false
92,385000 × 256x256 × 10x10x10x10,385000,256,10,128,1024,0,384200,330.0,930.0,624.3,524.9,157696,67584,1,OK,false
93,385000 × 256x256 × 100x100x100x100,385000,256,100,128,1024,0,384000,350.0,1010.0,628.5,529.2,165888,73728,1,OK,false
94,385000 × 256x256 × 1000x1000x1000x1000,385000,256,1000,128,1024,0,379600,1310.0,1950.0,552.4,459.6,174080,63488,1,OK,false
95,385000 × 256x256 × 10000x10000x10000x10000,385000,256,10000,128,1024,0,225800,10600.0,11280.0,264.9,220.9,108544,65536,1,OK,false
96,385000 × 1024x1024 × 1x1x1x1,385000,1024,1,128,1024,0,384300,330.0,920.0,636.7,534.5,167936,67584,1,OK,false
97,385000 × 1024x1024 × 10x10x10x10,385000,1024,10,128,1024,0,383900,340.0,1030.0,632.1,532.7,169984,66560,1,OK,false
98,385000 × 1024x1024 × 100x100x100x100,385000,1024,100,128,1024,0,383900,360.0,1020.0,636.0,536.6,165888,72704,1,OK,false
99,385000 × 1024x1024 × 1000x1000x1000x1000,385000,1024,1000,128,1024,0,384300,350.0,1190.0,622.7,532.1,166912,74752,1,OK,false
100,385000 × 1024x1024 × 10000x10000x10000x10000,385000,1024,10000,128,1024,0,326100,11070.0,11540.0,429.3,347.2,123904,71680,1,OK,false
101,731500 × 0x0 × 1x1x1x1,731500,0,1,128,1024,0,705800,420.0,1150.0,755.6,694.5,242688,66560,1,OK,false
102,731500 × 0x0 × 10x10x10x10,731500,0,10,128,1024,0,706600,410.0,1100.0,755.6,726.4,240640,68608,1,OK,false
103,731500 × 0x0 × 100x100x100x100,731500,0,100,128,1024,0,706100,420.0,1110.0,755.0,725.9,250880,72704,1,OK,false
104,731500 × 0x0 × 1000x1000x1000x1000,731500,0,1000,128,1024,0,706800,410.0,1160.0,753.9,719.1,238592,69632,1,OK,false
105,731500 × 0x0 × 10000x10000x10000x10000,731500,0,10000,128,1024,0,353800,10560.0,11290.0,360.5,331.6,138240,69632,1,OK,false
106,731500 × 1x1 × 1x1x1x1,731500,1,1,128,1024,0,686800,860.0,1480.0,730.0,599.5,240640,73728,1,OK,false
107,731500 × 1x1 × 10x10x10x10,731500,1,10,128,1024,0,486000,1330.0,1620.0,523.0,425.6,181248,67584,1,OK,false
108,731500 × 1x1 × 100x100x100x100,731500,1,100,128,1024,0,103100,2290.0,2380.0,105.1,92.3,95232,66560,1,OK,false
109,731500 × 1x1 × 1000x1000x1000x1000,731500,1,1000,128,1024,0,101000,2340.0,2410.0,103.7,89.2,95232,68608,1,OK,false
110,731500 × 1x1 × 10000x10000x10000x10000,731500,1,10000,128,1024,0,12400,10460.0,20480.0,14.5,12.4,86016,60416,1,OK,false
111,731500 × 16x16 × 1x1x1x1,731500,16,1,128,1024,0,687200,790.0,1390.0,729.8,673.8,235520,70656,1,OK,false
112,731500 × 16x16 × 10x10x10x10,731500,16,10,128,1024,0,508500,1300.0,1560.0,549.0,492.2,195584,73728,1,OK,false
113,731500 × 16x16 × 100x100x100x100,731500,16,100,128,1024,0,151800,1380.0,2080.0,158.2,138.9,108544,66560,1,OK,false
114,731500 × 16x16 × 1000x1000x1000x1000,731500,16,1000,128,1024,0,120300,2120.0,2420.0,124.9,108.9,105472,66560,1,OK,false
115,731500 × 16x16 × 10000x10000x10000x10000,731500,16,10000,128,1024,0,12700,10460.0,20690.0,14.8,13.0,89088,64512,1,OK,false
116,731500 × 256x256 × 1x1x1x1,731500,256,1,128,1024,0,705400,420.0,1170.0,754.6,692.6,242688,72704,1,OK,false
117,731500 × 256x256 × 10x10x10x10,731500,256,10,128,1024,0,707000,420.0,1120.0,753.2,724.4,233472,74752,1,OK,false
118,731500 × 256x256 × 100x100x100x100,731500,256,100,128,1024,0,707500,410.0,1100.0,755.0,723.6,245760,70656,1,OK,false
119,731500 × 256x256 × 1000x1000x1000x1000,731500,256,1000,128,1024,0,704700,430.0,1410.0,751.7,723.7,242688,72704,1,OK,false
120,731500 × 256x256 × 10000x10000x10000x10000,731500,256,10000,128,1024,0,296800,10580.0,11320.0,313.1,280.6,136192,73728,1,OK,false
121,731500 × 1024x1024 × 1x1x1x1,731500,1024,1,128,1024,0,705200,420.0,1130.0,755.6,694.5,247808,70656,1,OK,false
122,731500 × 1024x1024 × 10x10x10x10,731500,1024,10,128,1024,0,705400,420.0,1130.0,755.0,724.1,249856,66560,1,OK,false
123,731500 × 1024x1024 × 100x100x100x100,731500,1024,100,128,1024,0,705900,420.0,1150.0,754.3,722.3,239616,72704,1,OK,false
124,731500 × 1024x1024 × 1000x1000x1000x1000,731500,1024,1000,128,1024,0,705500,420.0,1130.0,755.4,724.8,239616,66560,1,OK,false
125,731500 × 1024x1024 × 10000x10000x10000x10000,731500,1024,10000,128,1024,0,704900,,,,,,,,,true
